Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Sep-22,"$817,150","$1,200,000","$399,000","$429,780","$450,000","$870,000","$418,750","$645,000","$415,000","$327,000","$460,000","$351,500","$365,000","$342,500","$339,500","$269,000","$891,770","$410,000","$1,728,000","$342,200","$535,000","$377,000","$1,105,000","$822,500","$997,500","$565,000","$1,200,000","$640,000","$475,000","$600,000","$515,000","$750,000","$480,000","$899,000","$1,650,000","$535,000","$875,000","$1,860,500","$905,000","$1,700,000","$1,217,500","$375,000","$352,450","$590,000","$805,000","$450,000","$440,700","$302,000","$346,750","$335,000","$399,500","$850,000","$625,000","$433,000",,"$620,000","$750,000","$920,000","$465,000","$379,740","$562,240","$1,220,000","$783,380"
Oct-22,"$798,140","$1,213,000","$373,750","$438,750","$414,500","$850,000","$389,900","$679,500","$400,000","$310,000","$439,500","$347,000","$379,980","$328,000","$353,000","$290,500","$854,560","$400,000","$1,668,500","$399,000","$522,500","$380,000","$960,000","$865,000","$975,000","$532,500","$1,165,000","$645,000","$442,500","$599,990","$510,000","$761,000","$465,000","$860,000","$1,692,500","$523,750","$815,000","$1,900,000","$1,115,000","$1,625,000","$1,362,000","$382,250","$326,750","$580,000","$797,570","$434,500","$425,000","$272,500","$300,000","$369,000","$368,260","$855,000","$595,000","$404,950",,"$620,000","$742,000","$937,500","$455,000","$392,750","$550,000","$1,200,000","$770,000"
Nov-22,"$774,150","$1,150,000","$405,000","$435,000","$444,000","$860,000","$367,500","$610,000","$393,000","$309,000","$449,000","$362,500","$370,000","$325,000","$336,000","$210,250","$836,630","$413,000","$1,649,500","$363,500","$530,000","$367,750","$870,000","$819,500","$1,067,500","$523,000","$1,100,000","$620,000","$375,000","$580,000","$505,000","$667,390","$437,500","$865,000","$1,500,000","$532,500","$890,000","$1,782,500","$800,000","$1,600,000","$1,245,000","$350,000","$342,000","$572,000","$833,290","$430,000","$408,000","$302,000","$231,500","$361,990","$385,000","$860,000","$625,000","$399,450",,"$610,000","$720,000","$900,000","$450,000","$365,000","$540,000","$1,197,000","$750,000"
Dec-22,"$770,490","$1,050,000","$400,000","$408,500","$449,500","$760,000","$331,250","$580,000","$396,000","$286,750","$392,500","$340,000","$365,000","$337,000","$370,000","$170,000","$799,670","$410,500","$1,500,000","$359,000","$599,000","$340,000","$765,000","$775,000","$824,000","$512,500","$1,131,760","$620,000","$395,000","$575,000","$489,900","$765,000","$466,940","$850,000","$1,564,000","$515,000","$830,000","$1,675,000","$1,055,000","$1,478,000","$1,175,000","$348,000","$295,000","$580,000","$785,000","$420,000","$383,500","$285,600","$280,000","$353,500","$380,000","$818,000","$590,500","$414,000",,"$587,000","$716,500","$869,860","$438,000","$350,000","$535,000","$1,050,000","$743,180"
Jan-23,"$751,700","$1,015,000","$399,000","$410,000","$455,000","$725,000","$300,000","$575,000","$375,000","$392,500","$395,000","$343,500","$357,500","$365,000","$310,000","$260,000","$778,540","$387,460","$1,201,000","$372,500","$389,000","$369,000","$1,125,500","$850,000","$790,000","$470,000","$1,194,500","$620,000","$350,000","$585,000","$499,000","$719,000","$446,900","$824,900","$1,385,000","$509,900","$795,750","$1,625,000","$890,000","$1,530,000","$1,170,000","$373,750","$385,860","$580,000","$781,930","$410,000","$395,000","$314,900","$380,000","$332,720","$388,000","$815,000","$530,000","$425,000",,"$580,000","$700,000","$894,500","$430,750","$369,000","$540,000","$995,000","$738,250"
Feb-23,"$735,300","$1,066,000","$415,000","$405,000","$437,500","$750,000","$300,000","$622,000","$385,000","$295,000","$417,250","$325,000","$375,000","$352,000","$305,000","$212,500","$726,870","$378,000","$1,447,500","$353,000","$495,500","$381,950","$802,500","$775,500","$830,000","$475,000","$1,159,000","$631,250","$305,000","$595,000","$499,000","$730,000","$466,500","$878,000","$1,465,000","$513,900","$795,000","$2,080,000","$860,000","$1,500,000","$1,201,000","$350,000","$208,000","$555,000","$774,500","$430,000","$412,500","$332,000",NA,"$340,000","$361,000","$805,000","$545,000","$432,760",,"$615,000","$710,000","$856,000","$450,000","$369,000","$549,900","$1,025,000","$744,400"
Mar-23,"$793,260","$1,205,000","$414,940","$421,650","$438,000","$812,500","$400,000","$620,000","$409,500","$370,000","$450,000","$347,400","$365,000","$355,000","$351,250","$249,000","$718,370","$417,000","$1,600,000","$399,500","$492,500","$400,000","$750,000","$900,000","$890,000","$539,000","$1,250,000","$640,000","$310,000","$612,000","$500,000","$750,000","$475,000","$915,000","$1,700,000","$544,550","$895,000","$1,860,000","$769,000","$1,700,000","$1,205,000","$364,000","$240,000","$585,000","$829,000","$450,000","$385,000","$283,180","$430,000","$344,000","$387,000","$849,000","$619,010","$426,500",,"$640,000","$735,000","$922,500","$455,000","$355,000","$555,000","$1,200,000","$765,000"
Apr-23,"$811,510","$1,225,000","$475,000","$469,000","$495,000","$900,000","$315,000","$717,220","$413,000","$349,000","$439,000","$338,000","$375,000","$361,000","$317,000","$252,950","$738,520","$420,000","$1,790,000","$425,000","$485,000","$365,120","$1,177,750","$952,500","$815,000","$550,000","$1,225,000","$650,000","$319,250","$615,000","$515,000","$768,000","$450,000","$930,000","$1,587,500","$520,000","$925,000","$1,970,000","$1,080,500","$1,800,000","$1,349,500","$390,000","$289,000","$580,000","$840,000","$451,000","$405,000","$315,000","$307,500","$357,000","$419,050","$885,500","$605,000","$447,450",,"$634,000","$740,000","$1,020,000","$463,000","$385,000","$565,000","$1,250,000","$785,000"
May-23,"$835,280","$1,260,000","$449,000","$436,950","$550,000","$888,000","$315,000","$660,000","$420,000","$345,000","$435,000","$350,000","$379,320","$370,000","$398,000","$224,900","$744,770","$411,610","$1,800,000","$382,500","$532,500","$395,000","$850,000","$902,000","$888,500","$552,500","$1,256,500","$682,500","$355,000","$629,000","$535,000","$735,000","$455,000","$935,000","$1,654,000","$531,950","$874,500","$2,075,000","$1,275,000","$1,788,000","$1,352,500","$385,000","$256,000","$600,000","$860,000","$463,500","$439,500","$348,000","$263,250","$375,060","$424,500","$925,500","$646,730","$440,990",,"$635,000","$765,000","$1,000,000","$485,000","$380,000","$574,990","$1,300,000","$800,000"
Jun-23,"$837,850","$1,305,000","$470,000","$413,500","$459,000","$930,000","$410,000","$700,000","$429,390","$360,000","$440,000","$378,160","$381,180","$355,000","$342,500","$261,250","$832,310","$447,700","$1,715,000","$450,000","$520,000","$390,650","$925,000","$796,370","$843,750","$573,860","$1,260,000","$667,500","$390,000","$628,000","$530,000","$750,000","$470,000","$958,250","$1,595,000","$530,400","$865,000","$2,039,000","$1,197,000","$1,825,000","$1,200,000","$385,000","$289,900","$590,000","$850,000","$460,000","$437,000","$362,500","$305,000","$375,000","$413,000","$927,500","$617,000","$445,000",,"$650,000","$775,000","$984,500","$480,000","$380,000","$570,000","$1,323,810","$815,000"
Jul-23,"$832,530","$1,260,000","$442,000","$429,000","$476,500","$900,000","$349,000","$650,000","$417,500","$372,500","$465,000","$387,500","$395,000","$385,000","$335,000","$280,000","$851,540","$426,000","$1,609,500","$459,000","$540,000","$390,000","$785,000","$949,000","$927,500","$579,900","$1,300,000","$660,000","$364,050","$615,000","$547,000","$745,000","$485,000","$969,020","$1,460,000","$545,000","$860,000","$1,984,000","$994,470","$1,800,000","$1,300,000","$379,000","$296,000","$600,560","$850,960","$465,000","$402,000","$320,000","$320,000","$370,520","$463,500","$920,000","$625,000","$415,000",,"$645,000","$790,000","$985,000","$489,000","$375,000","$575,000","$1,255,000","$830,000"
Aug-23,"$859,670","$1,250,000","$490,000","$436,250","$475,000","$844,440","$382,500","$657,000","$425,000","$321,000","$421,920","$336,500","$394,500","$382,500","$325,000","$225,000","$882,010","$453,000","$1,475,000","$480,000","$560,000","$385,000","$970,000","$897,000","$1,055,000","$555,000","$1,310,000","$669,000","$412,000","$618,000","$535,000","$777,550","$495,000","$1,000,000","$1,576,000","$535,000","$868,810","$1,950,000","$1,295,000","$1,852,500","$1,200,000","$365,000","$305,500","$599,000","$850,000","$465,000","$425,000","$312,050","$205,000","$372,000","$389,500","$915,000","$622,500","$449,500",,"$657,000","$792,500","$950,000","$485,000","$369,000","$569,990","$1,260,000","$830,000"
Sep-23,"$843,500","$1,300,000","$414,250","$429,420","$537,500","$871,250","$400,000","$685,000","$410,000","$300,000","$422,500","$375,000","$383,000","$370,750","$260,000","$181,250","$914,340","$410,000","$1,650,000","$432,500","$448,000","$384,500","$935,000","$943,340","$890,000","$563,000","$1,310,000","$665,000","$441,250","$600,000","$545,000","$761,250","$475,000","$973,100","$1,580,000","$550,000","$888,000","$1,955,000","$1,030,000","$1,853,000","$1,165,000","$385,000","$325,000","$585,680","$848,000","$469,500","$430,000","$310,000","$320,000","$385,000","$419,000","$962,500","$608,640","$433,250",,"$650,000","$780,000","$950,000","$481,000","$385,000","$550,000","$1,300,000","$820,000"
